game_id,time_control,num_plies,white_s_att,black_s_att,white_lgbm_a0g,black_lgbm_a0g,white_detector_a3g_seed0,black_detector_a3g_seed0,white_cnn_bilstm_a4,black_cnn_bilstm_a4
2019-02_game_0005301,bullet,46,126.932,200.4771,0.197171,0.233624,0.209182,0.170279,0.232147,0.116298
2019-03_game_0022824,bullet,100,153.7319,79.9935,0.444395,0.74618,0.368765,0.697993,0.550611,0.651403
2019-02_game_0020153,bullet,22,254.0486,272.5929,0.18789,0.238122,0.048711,0.154792,0.300263,0.446407
2019-01_game_0027989,bullet,74,140.4929,127.8904,0.393374,0.654107,0.424654,0.283741,0.243252,0.559443
2023-05_game_0027854,bullet,100,130.568,150.293,0.523937,0.592239,0.399352,0.504224,0.575002,0.671996
2019-06_game_0029600,bullet,61,185.3795,169.0583,0.393071,0.603014,0.304224,0.256716,0.711381,0.313018
2019-06_game_0020062,bullet,42,250.5355,248.9719,0.530427,0.574629,0.173968,0.894492,0.185241,0.537426
2019-03_game_0001953,bullet,26,140.3925,111.5146,0.254693,0.252171,0.065807,0.074217,0.317938,0.631391
2019-01_game_0000668,bullet,60,332.7724,130.5531,0.387104,0.614401,0.276136,0.372803,0.186323,0.535075
2023-05_game_0002226,bullet,79,128.0211,393.5632,0.355817,0.753478,0.337863,0.448352,0.715601,0.341382
2019-02_game_0005787,bullet,67,64.1935,63.6089,0.371766,0.758693,0.271756,0.278333,0.668638,0.637113
2019-03_game_0009669,bullet,58,199.2043,92.3609,0.354021,0.760556,0.243368,0.401043,0.142613,0.452882
2019-06_game_0023670,bullet,48,225.9821,237.2826,0.465439,0.679858,0.218996,0.236189,0.212045,0.680206
2019-03_game_0029820,bullet,85,211.6983,265.2504,0.324458,0.63441,0.304998,0.432652,0.689193,0.304601
2019-04_game_0026615,bullet,70,146.6001,137.5543,0.387024,0.515356,0.236573,0.837271,0.296445,0.689831
2019-02_game_0020581,bullet,100,127.7523,100.0222,0.425495,0.616563,0.380143,0.561859,0.708826,0.710008
